Author,Resort,Count,Role,cluster
Isabel Schuler,meinung,1,Unknown,7
Isabella Hager,fotografie,6,Bildredaktion,2
Isabelle Jacobi,international,56,International,2
Isabelle Noth,feuilleton,1,Unknown,0
Isabelle Pfister,Unspecified,2,Unknown,2
Isabelle Wachter,international,18,Wirtschaft,1
Ivan Kashinsky,technologie,1,Unknown,2
Ivo Mijnssen,international,29,"Chefredaktion, Tagesleitung",2
Iván Medina,international,1,Unknown,10
Jack Califano,international,1,Unknown,2
Jacqueline Goebel,international,1,Unknown,2
Jacqueline Lipp,panorama,1,"Tagesleitung, Nachrichten",7
Jakob Knaus,feuilleton,1,Unknown,0
Jakob Kullik,meinung,2,Unknown,5
Jan Hudec,zuerich,57,Zürich,12
Jan Kapusnak,meinung,2,Unknown,2
Jan Ludwig,Unspecified,12,Visuals & Tech,2
Jan-Erik Kruse,mobilitaet,7,Unknown,5
Jan-Heiner Tück,feuilleton,1,Unknown,9
Jana Avanzini,folio,1,Unknown,9
Jana Janika Bach,feuilleton,3,Unknown,0
Jana Kehl,international,8,Unknown,2
Jana Leu,schweiz,1,Unknown,7
Jana Schibli,wirtschaft,2,Magazin / Bellevue / Z,9
Janina Bauer,nzz-am-sonntag,2,Unknown,2
Janina Gehrig,schweiz,3,Unknown,3
Janique Weder,wirtschaft,53,Wirtschaft,3
Jannik Belser,wirtschaft,65,Wirtschaft,3
Janos I. Szirtes,meinung,4,Unknown,2
Jaschar Dugalic,international,18,Unknown,7
Jasmin Hegetschweiler,international,4,Visuals & Tech,3
Jasmine Jacot-Descombes,Unspecified,6,Video / Social Media,2
Jasmine Rueegg,Unspecified,1,Visuals & Tech,3
Jasmine Rüegg,Unspecified,1,Visuals & Tech,2
Jasper Walter Bastian,wirtschaft,1,Unknown,1
Jean-Daniel Gerber,meinung,1,Unknown,7
Jean-Martin Büttner,feuilleton,16,Unknown,2
Jean-Philippe Kohl,meinung,1,Unknown,5
Jennifer Rieger,Unspecified,6,Unknown,5
Jenny Rieger,Unspecified,17,Podcast,5
Jens Balkenborg,feuilleton,6,Unknown,0
Jens Gutzmer,meinung,2,Unknown,5
Jeremy Black,feuilleton,1,Unknown,9
Jeroen van Rooijen,feuilleton,1,Unknown,3
Jessica Eberhart,Unspecified,12,Visuals & Tech,2
Joachim Krause,meinung,1,Unknown,2
Joana Kelén,international,3,Visuals & Tech,2
Jochen Hellbeck,feuilleton,1,Unknown,9
Jochen Müssig,reisen,4,Unknown,9
Jodi Hilton,international,1,Unknown,9
Johanes E. S. Wato,meinung,1,Unknown,5
Johann Schneider-Ammann,meinung,1,Unknown,7
Johanna Bayer,wissenschaft,1,Unknown,11
Johanna-Maria Fritz,fotografie,1,Unknown,5
Johannes Bockenheimer,international,1,Redaktion Deutschland,1
